fips_code,county_name,state_name,pop25,pop_25plus_highschool_plus,pop_25plus_bachelor_plus
16057,Latah County,Idaho,23666,22942,10626
16059,Lemhi County,Idaho,6034,5592,1383
16061,Lewis County,Idaho,2657,2412,531
16063,Lincoln County,Idaho,3501,2889,407
16065,Madison County,Idaho,18038,17503,7273
16067,Minidoka County,Idaho,13620,11178,2293
16069,Nez Perce County,Idaho,29730,27628,7955
16071,Oneida County,Idaho,3033,2858,794
16073,Owyhee County,Idaho,8217,6387,1124
16075,Payette County,Idaho,17539,15205,3443
16077,Power County,Idaho,5008,4408,835
16079,Shoshone County,Idaho,9827,8723,1133
16081,Teton County,Idaho,8480,7852,4092
16083,Twin Falls County,Idaho,59538,52782,13696
