fips_code,county_name,state_name,pct_households_owner_occupied,pct_households_renter_occupied
17019,Champaign County,Illinois,53.4,46.6
17021,Christian County,Illinois,74.3,25.7
17023,Clark County,Illinois,81.7,18.3
17025,Clay County,Illinois,80.7,19.3
17027,Clinton County,Illinois,79.3,20.7
17029,Coles County,Illinois,60.4,39.6
17031,Cook County,Illinois,57.5,42.5
17033,Crawford County,Illinois,80.4,19.6
17035,Cumberland County,Illinois,83.5,16.5
17037,DeKalb County,Illinois,60.9,39.1
17039,De Witt County,Illinois,76.8,23.2
17041,Douglas County,Illinois,79.1,20.9
17043,DuPage County,Illinois,73.1,26.9
17045,Edgar County,Illinois,72.7,27.3
17047,Edwards County,Illinois,79.2,20.8
