fips_code,county_name,state_name,latitude,longitude
36087,Rockland County,New York,41.1525286747566,-74.02423213239048
36089,St. Lawrence County,New York,44.496389353808695,-75.06908180597452
36091,Saratoga County,New York,43.107383401330516,-73.86390700327586
36093,Schenectady County,New York,42.818129299524095,-74.05856009325447
36095,Schoharie County,New York,42.588207958661485,-74.44211130913774
36097,Schuyler County,New York,42.393808224228614,-76.87519576073521
36099,Seneca County,New York,42.780993540862326,-76.82376545874564
36101,Steuben County,New York,42.267810120180094,-77.38377566993576
36103,Suffolk County,New York,40.86800424910466,-72.84580221423822
36105,Sullivan County,New York,41.716445704011406,-74.76809040474987
36107,Tioga County,New York,42.17033915397908,-76.30628332975
36109,Tompkins County,New York,42.4520187369981,-76.47365128018298
36111,Ulster County,New York,41.88814632408087,-74.25856839592507
36113,Warren County,New York,43.560971185249905,-73.84596853062834
36115,Washington County,New York,43.31365775226576,-73.430761533405
36117,Wayne County,New York,43.15654424827415,-77.02941249928817
36119,Westchester County,New York,41.162652152722195,-73.75610294252797
36121,Wyoming County,New York,42.702424894984446,-78.22442639238558
36123,Yates County,New York,42.63346528274162,-77.10546086760979
37001,Alamance County,North Carolina,36.043681056595894,-79.39945220645292
37003,Alexander County,North Carolina,35.92109897822779,-81.176983470527
37005,Alleghany County,North Carolina,36.491516445284944,-81.12706512162666
37007,Anson County,North Carolina,34.97382102713596,-80.10275339038019
37009,Ashe County,North Carolina,36.43408299174539,-81.5003779552125
37011,Avery County,North Carolina,36.07657046549036,-81.92258222884423
37013,Beaufort County,North Carolina,35.49397523336673,-76.85975033779874
37015,Bertie County,North Carolina,36.06625511478342,-76.97885517060341
37017,Bladen County,North Carolina,34.61466419658946,-78.56378920945363
37019,Brunswick County,North Carolina,34.07153449617084,-78.23832697207737
37021,Buncombe County,North Carolina,35.611163427690826,-82.53002674612199
37023,Burke County,North Carolina,35.7495883469149,-81.70478719968
37025,Cabarrus County,North Carolina,35.38676333398828,-80.55184842185072
37027,Caldwell County,North Carolina,35.952989263544545,-81.54643163496817
37029,Camden County,North Carolina,36.38915178132706,-76.20803540021487
37031,Carteret County,North Carolina,34.83573973715742,-76.65896713293165
37033,Caswell County,North Carolina,36.39316993948283,-79.33353649006052
37035,Catawba County,North Carolina,35.6620557255306,-81.21510523271748
37037,Chatham County,North Carolina,35.70260787177777,-79.25540045939489
37039,Cherokee County,North Carolina,35.13387109431473,-84.06340268841902
37041,Chowan County,North Carolina,36.15085440139784,-76.6079149963474
37043,Clay County,North Carolina,35.0571955954885,-83.75014233544655
37045,Cleveland County,North Carolina,35.33407177263892,-81.5555413517872
37047,Columbus County,North Carolina,34.26566451494789,-78.6550163500123
37049,Craven County,North Carolina,35.12489171146368,-77.09391949105861
37051,Cumberland County,North Carolina,35.04874642184309,-78.8277435648693
37053,Currituck County,North Carolina,36.4049888250134,-76.00789357167731
37055,Dare County,North Carolina,35.78244140169224,-75.79876851456105
37057,Davidson County,North Carolina,35.793356764348296,-80.21276386964875
37059,Davie County,North Carolina,35.92911570751984,-80.54452761835906
37061,Duplin County,North Carolina,34.93656035233981,-77.93298673470866
37063,Durham County,North Carolina,36.03599966555343,-78.87660506714981
37065,Edgecombe County,North Carolina,35.91291317737833,-77.597041197897
37067,Forsyth County,North Carolina,36.130631508671044,-80.25633557295157
37069,Franklin County,North Carolina,36.082733153912116,-78.28571301217883
37071,Gaston County,North Carolina,35.29436893298374,-81.18030122216727
37073,Gates County,North Carolina,36.44494124021965,-76.70044476633937
37075,Graham County,North Carolina,35.350147756070626,-83.8334738234789
37077,Granville County,North Carolina,36.304036444124044,-78.6527331862503
37079,Greene County,North Carolina,35.48502845394145,-77.67574023072933
37081,Guilford County,North Carolina,36.079488342839575,-79.78892780297713
37083,Halifax County,North Carolina,36.25745394648527,-77.65164376700656
37085,Harnett County,North Carolina,35.36889870274768,-78.86936066735329
37087,Haywood County,North Carolina,35.55606514777368,-82.98221112307888
37089,Henderson County,North Carolina,35.33630263839315,-82.47996895203242
37091,Hertford County,North Carolina,36.359120879533755,-76.98202612080017
37093,Hoke County,North Carolina,35.01754942925426,-79.23730525238742
